batch / menu name,store items,main category,planned portions,yield unit,selling price / portion,labour,gas,other,outlet,ingredient source,optional,line cost
,150 g Green Beans,,,,,,,,,raw,,120
,2 pcs Sausage,,,,,,,,,raw,,500
,2 tsp Salt,,,,,,,,,raw,,8.24
Goat Meat Pepper Soup,1 kg Goat,African Soups,5,portion,7500,0,0,0,restaurant,raw,,6500
,100 g Fresh Pepper,,,,,,,,,raw,,300
,3 pcs Knorr Maggi,,,,,,,,,raw,,120
,2 tsp Salt,,,,,,,,,raw,,8.24
,2 pcs Onions,,,,,,,,,raw,,233.34
,0.5 pcs Ginger,,,,,,,,,raw,,250
,0.5 pcs Garlic,,,,,,,,,raw,,300
,6 pcs Shombo,,,,,,,,,raw,,202.9
,0.3333333333333333 pack Scent Leaf,,,,,,,,,raw,,100
,1 pack Pepper Soup Spice,,,,,,,,,raw,,100
Cat Fish Pepper Soup (4 Portion),1 kg Cat Fish,Soups,4,portion,7500,0,0,0,restaurant,raw,,3300
,12 pcs Fresh Pepper,,,,,,,,,raw,,240
,2 pcs Onions,,,,,,,,,raw,,233.34
,3 pcs Knorr Maggi,,,,,,,,,raw,,120
,2 tsp Salt,,,,,,,,,raw,,8.24
,0.25 pcs Garlic,,,,,,,,,raw,,150
,0.3333333333333333 pack Scent Leaf,,,,,,,,,raw,,100
,6 pcs Shombo,,,,,,,,,raw,,202.9
,3 pack Pepper Soup Spice,,,,,,,,,raw,,300
,0.3333333333333333 pcs Ginger,,,,,,,,,raw,,166.67
Cow Assorted Pepper Soup,3 pcs Knorr Maggi,African Soups,4,portion,7500,0,0,0,restaurant,raw,,120
,2 tsp Salt,,,,,,,,,raw,,8.24
,12 pcs Fresh Pepper,,,,,,,,,raw,,240
,0.25 pcs Garlic,,,,,,,,,raw,,150
,2 pcs Onions,,,,,,,,,raw,,233.34
,0.3333333333333333 pcs Ginger,,,,,,,,,raw,,166.67
,3 pack Pepper Soup Spice,,,,,,,,,raw,,300
,6 pcs Shombo,,,,,,,,,raw,,202.9
,0.3333333333333333 pack Scent Leaf,,,,,,,,,raw,,100
,1 kg Cow Assorted,,,,,,,,,raw,,5000
Chicken Pepper Soup,3 kg Chicken,African Soups,8,portion,7500,0,0,0,restaurant,raw,,14400
,15 pcs Fresh Pepper,,,,,,,,,raw,,300
,3 pcs Knorr Maggi,,,,,,,,,raw,,120
,0.25 pcs Garlic,,,,,,,,,raw,,150
,2 pcs Onions,,,,,,,,,raw,,233.34
,0.3333333333333333 pcs Ginger,,,,,,,,,raw,,166.67
,3 pack Pepper Soup Spice,,,,,,,,,raw,,300
,6 pcs Shombo,,,,,,,,,raw,,202.9
,2 tsp Salt,,,,,,,,,raw,,8.24
Okro Soup,0.5 basket Okro,African Soups,10,portion,5000,0,0,0,restaurant,raw,,2500
,0.5 mudu Cray Fish,,,,,,,,,raw,,2750
,2 pcs Kpomo,,,,,,,,,raw,,2000
,0.5 kg Goat Intestine,,,,,,,,,raw,,3000
,375 ml Red Oil,,,,,,,,,raw,,675
,20 pcs Fresh Pepper,,,,,,,,,raw,,400
,3 pcs Onions,,,,,,,,,raw,,350.01
,2 tsp Salt,,,,,,,,,raw,,8.24
,1 kg Dry Fish,,,,,,,,,raw,,3000
,2 pcs Stock Fish Head,,,,,,,,,raw,,7000
,1 pack Uziza Leaf,,,,,,,,,raw,,500
Vegetable Soup,2 pcs Kpomo,African Soups,10,portion,5000,0,0,0,restaurant,raw,,2000
,375 ml Red Oil,,,,,,,,,raw,,675
,15 pcs Fresh Pepper,,,,,,,,,raw,,300
,0.5 kg Goat,,,,,,,,,raw,,3250
,2 tsp Salt,,,,,,,,,raw,,8.24
,3 pcs Onions,,,,,,,,,raw,,350.01
,2 pcs Stock Fish Head,,,,,,,,,raw,,7000
,0.5 pack Vegetable Leaf / Ugwu,,,,,,,,,raw,,1500
,5 pack Water Leaf,,,,,,,,,raw,,1500
,1 kg Dry Fish,,,,,,,,,raw,,3000
,0.5 mudu Cray Fish,,,,,,,,,raw,,2750
Basmati Rice,1 kg Rice,Rice Dishes,5,portion,5000,0,0,0,restaurant,raw,,1100
,1 pcs Knorr Maggi,,,,,,,,,raw,,1000
Egusi Soup,1 mudu Melon,African Soups,10,portion,5000,0,0,0,restaurant,raw,,3000
,0.5 l Red Oil,,,,,,,,,raw,,900
,1 pcs Stock Fish Head,,,,,,,,,raw,,3500
,1 kg Dry Fish,,,,,,,,,raw,,3000
,1 pcs Knorr Maggi,,,,,,,,,raw,,40
,2 tsp Salt,,,,,,,,,raw,,8.24
,3 pcs Onions,,,,,,,,,raw,,350.01
,0.5 mudu Cray Fish,,,,,,,,,raw,,2750
,0.2 kg Fresh Pepper,,,,,,,,,raw,,600
,1 pcs Kpomo,,,,,,,,,raw,,1000
,0.5 kg Goat Intestine,,,,,,,,,raw,,3000
Chicken Stock,2 kg Chicken,Cooking Stock,2,l,0,0,0,0,restaurant,raw,,9600
,2 tbsp Curry Powder,,,,,,,,,raw,,800
,2 tbsp Ginger,,,,,,,,,raw,,500
,3.5 tbsp Garlic,,,,,,,,,raw,,350
,1 tbsp Thyme,,,,,,,,,raw,,400
Fried Rice,1 kg Rice,Rice Dishes,6,portion,4000,0,0,0,restaurant,raw,,1100
,0.25 kg Green Beans,,,,,,,,,raw,,200
,0.5 pcs Sweet Corn,,,,,,,,,raw,,600
,0.5 pcs Farrow Peas,,,,,,,,,raw,,750
,0.1 l Chilli Pepper,,,,,,,,,raw,,300
,2 tsp Salt,,,,,,,,,raw,,8.24
,3 pcs Knorr Maggi,,,,,,,,,raw,,120
,1 sachet Thyme,,,,,,,,,raw,,800
,2 tbsp Curry Powder,,,,,,,,,raw,,800
,0.2 l Vegetable Oil,,,,,,,,,raw,,528
,2 pcs Onions,,,,,,,,,raw,,233.34
Jollof Rice,1 kg Rice,Rice Dishes,6,portion,4000,0,0,0,restaurant,raw,,1100
,300 ml Vegetable Oil,,,,,,,,,raw,,792
,2 pcs Onions,,,,,,,,,raw,,233.34
,1 l Shombo,,,,,,,,,raw,,1555.56
,1 tbsp Curry Powder,,,,,,,,,raw,,400
,1 tbsp Thyme,,,,,,,,,raw,,400
,1 tbsp Garlic,,,,,,,,,raw,,100
,0.5 pcs Ginger,,,,,,,,,raw,,250
,2 tsp Salt,,,,,,,,,raw,,8.24
,2 pack Bay Leaf,,,,,,,,,raw,,2000
,3 pcs Knorr Maggi,,,,,,,,,raw,,120
,0.5 sachet Ama Wonda Jollof Rice,,,,,,,,,raw,,80
,1 l Meat Stock,,,,,,,,,raw,yes,0
Coleslaw Salad,1 pack Cabbage,Salad,10,portion,1500,0,0,0,restaurant,raw,,1500
,1 pcs Carrot,,,,,,,,,raw,,300
,1 pack Lettuce,,,,,,,,,raw,,300
,2 pcs Cucumber,,,,,,,,,raw,,600
,6 tbsp Bama (mayonnaise),,,,,,,,,raw,,1125
,1 tbsp Tomato Ketchup,,,,,,,,,raw,,937.5
,5 pcs Tomato,,,,,,,,,raw,,500
